"Сириус (бот) физика",-4522600581
"Сириус (бот) математика",-1002224768543
"Сириус (бот) информатика",-1002200560680
"Сириус (бот) химия",-1002225972068
"Сириус (бот) биология",-1002164619784
"testbotgroup2",-4507311797
"testbotgroup2",-4507311797
